firstname;lastname;address;PLZ;city;birthdate;email;gamertag;join_date;hardware;game;playtime;wins;losses;ingamelevel
Gus;Batz;Wolf Lock 13;1895;West Elmer;1964-01-22;caden_herzog@hotmail.com;Nina31;2021-01-20;Nintendo Switch;Diablo III;850;520;923;44
Shanel;Bogisich;Emilio Isle 82;6958;West Johnpaulview;1985-03-16;ashley_brekke-grimes18@yahoo.com;Hans75;2016-07-18;Nintendo Switch;Rocket League;967;922;37;97
Cecile;Deckow;Armstrong Island 65;1778;Shawnburgh;1971-02-05;janessa_weissnat40@gmail.com;Bertram29;2019-08-13;PC;NBA 2K20;728;283;549;17
Vivien;Vandervort;Gislason Glen 91;5293;Lake Royal;1960-06-01;cordell_green91@hotmail.com;May_Klein;2021-05-12;PC;Counter Strike: Global Offensive;925;475;341;77
Josie;Thiel;Feest Crossroad 52;5884;Napa;1992-01-02;bert73@hotmail.com;Damion_Blick;2016-10-21;Playstation 5;Counter Strike: Global Offensive;886;631;913;36
Carmela;McClure;O'Kon Common 1;6116;South Effiehaven;1982-07-13;johnathon.hegmann49@yahoo.com;Cathrine_Cassin;2018-03-23;Playstation 5;Rocket League;626;441;472;89
Kameron;Labadie;Delpha Point 68;2899;Bayerburgh;1951-01-06;patrick.weimann@yahoo.com;Daryl_Friesen25;2018-05-05;Nintendo Switch;Hearthstone;391;240;202;42
Orville;Botsford;Mann Brook 67;3838;New Kalestad;1954-11-27;madison38@yahoo.com;Stacy_Kessler98;2023-05-13;Playstation 5;Counter Strike: Global Offensive;382;952;408;11
Cecil;Cummerata;Russel Common 19;1008;South Brandtfurt;1988-11-13;queen15@gmail.com;Jakayla_Boehm;2016-05-11;Playstation 4;Teamfight Tactics;873;827;679;97
Guido;Moen;Edmond Viaduct 100;1505;Placentia;1985-05-20;oran.shields31@hotmail.com;Julien.Schuster;2017-08-31;Xbox Series X;League of Legends;614;1000;732;97
Wellington;Ankunding;Jarred Loop 74;2569;Crooksbury;1979-01-14;sonia44@hotmail.com;Willis_Zemlak;2017-02-21;Xbox Series X;Fortnite;884;886;496;38
Kolby;Kozey;Lillie Rapids 27;2429;Lake Jose;1948-12-21;francesca.gislason94@hotmail.com;Estell23;2020-07-24;Playstation 5;Starcraft II;237;720;501;26
Reese;Kunde;Marian Ford 19;7336;Rosemead;1952-04-03;brock.fisher@hotmail.com;Celine_Rath-Schaefer51;2014-02-10;Xbox Series X;World of Warcraft;866;435;845;17
Freddy;Strosin;Jonas Crossing 88;2927;Weimannfurt;1959-04-15;taya2@yahoo.com;Lance77;2015-01-14;PC;Teamfight Tactics;261;65;215;31
Dejon;Kemmer;Melyssa Via 96;1587;West Elwin;1961-04-27;gordon47@gmail.com;Shad30;2016-08-18;Playstation 4;Hearthstone;630;292;602;86
Kristin;Rath;Carter Cliffs 99;1489;Felicityworth;1954-09-17;adela0@gmail.com;Flavio.Hodkiewicz99;2021-08-18;Xbox Series X;Diablo III;354;230;489;30
Karina;Haag;Amiya Spurs 19;4473;East Mohammad;2002-02-23;felicia.walker92@gmail.com;Kyle.Walter90;2017-06-26;Nintendo Switch;PlayerUnknown's Battlegrounds;604;779;986;67
Skyla;Bayer;Else Meadow 77;1864;Lake Angustown;1953-08-13;norene88@gmail.com;Berry.Johnston63;2019-11-24;Xbox Series X;Destiny 2;634;0;70;17
Patrick;Schumm;Waelchi Ferry 22;8687;Arcadia;1951-03-24;tia1@gmail.com;Owen.Cremin15;2018-12-22;Xbox One;Overwatch;504;637;942;14
Leonora;Schamberger;Haag Pine 38;9914;North Roger;1994-03-25;audrey_crist@gmail.com;Alanis18;2014-02-04;Xbox Series X;Overwatch;204;858;30;19
Jamal;D'Amore;Schneider Mills 77;7010;Port Missouri;1970-08-03;trevor_spencer@hotmail.com;Oleta_Von73;2021-06-02;Playstation 5;NBA 2K20;376;436;53;10
Marcia;Pacocha;Jacklyn Ridges 86;6486;Jaquelinhaven;1955-02-28;madge_oconnell@gmail.com;Lonie.Medhurst60;2016-04-20;Playstation 5;Teamfight Tactics;475;883;763;50
Annamarie;Gulgowski;Reichel Manors 97;4768;Schuliststad;2006-05-03;charlene_macejkovic@yahoo.com;Brooke_Rohan17;2022-01-06;Playstation 5;NBA 2K20;625;341;490;49
Raul;Swaniawski;VonRueden Plain 29;7251;Hettingerton;1987-06-09;elza_koelpin-pfeffer83@hotmail.com;Nicola_Gibson;2023-03-26;PC;Madden NFL 20;817;114;281;67
Viola;Sipes;Viola Unions 46;2527;Janytown;2002-10-24;darrell.blanda77@hotmail.com;Uriel.Haag46;2017-11-19;Playstation 4;Heroes of the Storm;204;702;453;47
Lane;Ziemann;Giovanny Lights 43;1057;Adamsland;1957-05-25;maximus.cummings21@hotmail.com;Ewell.Lueilwitz-Wilderman46;2016-04-20;Playstation 5;Fortnite;121;211;716;89
Izaiah;Hammes;Rita Course 15;7875;Gisselleport;1987-05-04;alanis10@gmail.com;Arvilla.Paucek;2018-04-10;Nintendo Switch;Madden NFL 20;512;634;267;87
Xzavier;McClure;Milford Locks 16;9192;Stonestad;1973-02-12;eulah_zemlak@yahoo.com;Monique_Cormier28;2019-03-10;Xbox One;Path of Exile;391;776;645;93
Lera;Feil;Jacobson Spur 84;3665;Glenniebury;1961-03-04;tyrel25@hotmail.com;Adrian.Johns;2019-04-21;Playstation 4;FIFA 20;154;97;874;97
Kenton;Gerhold;Jacobi Center 79;5532;South Filibertoberg;1998-08-25;marcelina.trantow75@gmail.com;Presley49;2015-08-21;Xbox Series X;Teamfight Tactics;766;933;594;11
Maximo;Schaden;Lang Club 91;6972;Genesismouth;1979-07-04;gail44@hotmail.com;Luciano_Stehr;2015-11-23;PC;Madden NFL 20;790;437;208;37
Edd;Hyatt;Rebeka Pike 71;9266;Fort Shanie;1982-02-07;savion13@yahoo.com;Moshe34;2020-11-15;Playstation 4;Call of Duty: Warzone;968;310;663;71
Everardo;Rice;Howe Shore 93;2706;Mannborough;1972-12-26;domenic_zulauf@hotmail.com;Fernando_Torphy70;2018-05-14;PC;Heroes of the Storm;910;74;913;6
Lea;Mitchell;Cummings Cliffs 60;7291;South Amanda;1957-10-25;dudley62@hotmail.com;Larue.Beer;2015-04-29;PC;Valorant;446;727;412;85
Marjorie;Hayes-King;Grady Track 26;2657;North Malvina;1972-04-04;mack43@yahoo.com;Vernie_Olson;2019-12-16;Playstation 4;Call of Duty: Warzone;396;556;918;66
Valentine;Beer;Dallas Plaza 69;5654;Priceshire;1970-05-12;werner_kshlerin@hotmail.com;Rodger.Turcotte;2017-08-21;Nintendo Switch;Heroes of the Storm;336;373;386;15
Okey;Willms;O'Reilly Lakes 84;2728;Fort Jewellworth;1968-02-10;tressa.volkman78@hotmail.com;Celine_Windler-Sanford;2022-09-05;Nintendo Switch;World of Warcraft;138;62;751;8
Kariane;Sanford;Hellen Skyway 82;6828;Lake Gerry;1960-03-11;nathen40@hotmail.com;Cathryn.Nader;2017-01-26;Xbox One;Starcraft II;312;88;134;80
Tess;Gutkowski;Winston Valley 97;7732;Jenkinsboro;1978-08-04;emmanuel.schiller50@yahoo.com;Lupe30;2014-11-26;Xbox Series X;Valorant;275;992;53;66
Bert;Schinner;Walter Junctions 13;7299;El Cajon;2003-11-08;janessa.abshire@yahoo.com;Gage57;2018-08-15;Xbox One;World of Warcraft;401;672;672;20
Dashawn;Bosco;Sven Trail 85;7834;New Carolyn;1995-02-16;hobart_schaden94@gmail.com;Kimberly.Ebert;2016-03-16;Nintendo Switch;Starcraft II;697;504;791;61
Keon;Medhurst;Smith Walk 81;4837;Erdmanberg;1952-12-19;emerald_cremin83@hotmail.com;Harley_Thompson24;2020-05-06;PC;Smite;191;463;480;36
Mozell;Huel;Branson Isle 10;1123;Port Lesliestead;1971-07-04;amya4@gmail.com;Lolita.Marquardt47;2014-04-09;Playstation 5;NBA 2K20;212;652;669;21
Cindy;Hane;Mante Spring 35;9906;St. George;2003-10-14;jon_bahringer12@hotmail.com;Twila.Hudson;2020-08-01;Xbox One;Overwatch;746;572;173;63
Alyson;Mertz;Lizeth Dam 13;8792;Madelinestad;1953-04-17;walton.lakin@hotmail.com;Anita_Cronin77;2018-11-20;Nintendo Switch;World of Warcraft;567;826;127;83
Louvenia;Larson;Jammie Meadow 45;3052;Fort Bertha;1995-10-13;matilda0@hotmail.com;Haylie.Kris63;2023-02-01;Nintendo Switch;League of Legends;472;406;145;54
Irma;O'Connell;Medhurst Lodge 64;1350;Elroyfort;1950-09-10;dedric54@gmail.com;Shanon_Osinski;2015-11-12;Playstation 4;FIFA 20;921;856;837;13
Tia;Kessler;Kadin Meadows 13;8498;Charleston;1976-10-01;agustin59@hotmail.com;Erica.Greenholt;2018-06-15;Nintendo Switch;Grand Theft Auto V;931;577;311;65
Eriberto;Boyle;Madilyn Crossroad 55;9788;North Cydney;1999-08-12;martin72@hotmail.com;Elaina80;2016-12-16;Xbox One;League of Legends;953;2;986;47
Jimmy;Macejkovic;Nova Forks 7;5845;Kilbackfield;1964-01-10;nyah24@hotmail.com;Gayle_Towne34;2014-01-02;PC;PlayerUnknown's Battlegrounds;702;864;729;5
Kamille;MacGyver;Weber Court 25;5045;Millerboro;1948-12-04;vincent22@yahoo.com;Elias.Kuhn24;2022-09-04;Nintendo Switch;Rainbow Six Siege;393;219;225;92
Gladys;Hills;Balistreri Glen 13;7248;New Jedidiah;1952-12-08;maia_wilkinson91@hotmail.com;Dayana_Auer95;2021-12-30;Playstation 5;Grand Theft Auto V;651;240;88;36
Rudy;Wiza;Blanche Walks 49;6388;New Andrewboro;1951-12-05;aileen.jacobs@yahoo.com;Elsie0;2013-11-21;Xbox One;Counter Strike: Global Offensive;322;710;704;27
Everette;Howe;Cruickshank Loop 90;7701;Broken Arrow;1955-10-13;destiney_ebert@gmail.com;Thalia92;2022-01-30;Playstation 5;World of Warcraft;241;227;297;3
Evie;Lemke;Grant Overpass 52;9046;New Margeview;1967-09-23;maverick.beer10@hotmail.com;Rosella_Kerluke70;2017-03-31;Nintendo Switch;FIFA 20;152;459;192;40
Garland;Heaney;Clair Pass 30;8971;Gleasonhaven;1979-11-02;mina_dibbert@gmail.com;Dario_Koch;2019-06-17;Playstation 4;Dota 2;118;682;563;31
Lilian;Sanford;Schaden Plain 83;9487;Jedcester;1987-03-16;loraine.ankunding62@hotmail.com;Flavio69;2022-03-24;Nintendo Switch;League of Legends;616;283;369;89
Ruthie;Thiel;Rebecca Pine 62;3661;Wilkinsonbury;1992-10-30;adolph.walsh@hotmail.com;Ian.Stroman;2021-08-05;Playstation 5;Fortnite;997;82;383;83
Esther;Johnston-Dicki;Bode Glen 97;7893;Deckowchester;1992-01-15;waylon_rempel@gmail.com;Joana86;2022-08-22;Xbox One;Call of Duty: Warzone;482;195;832;81
Justus;Jast;Becker Brook 33;7610;Champaign;1962-05-06;ed_mayert@gmail.com;Christiana.Blanda-Hudson84;2021-04-30;PC;Counter Strike: Global Offensive;776;74;869;87
Maymie;Hand;Fay Pine 45;7280;Canton;1954-09-22;norbert79@gmail.com;Vilma_Zieme8;2014-03-15;Playstation 4;League of Legends;421;253;926;35
Zelma;Barrows;Flatley Place 49;1375;Demondview;1950-05-19;andres_hyatt61@hotmail.com;Flavio_Zemlak;2016-05-23;Playstation 5;FIFA 20;410;451;497;1
Sydnie;Prohaska;Parker Corner 82;3381;South Orrin;1997-06-19;michaela_donnelly@hotmail.com;Lucie.Pagac;2023-05-20;Nintendo Switch;Rainbow Six Siege;123;266;78;18
Neva;Paucek;Aufderhar Gateway 19;5431;Cormierfort;1976-12-30;marielle.predovic@gmail.com;Garrett.Rosenbaum94;2021-10-15;PC;World of Tanks;167;308;114;55
Greyson;Legros-Jast;Francisca Streets 39;3179;Grantberg;1979-07-27;collin_kreiger@hotmail.com;Jayne.Tillman;2021-06-28;Nintendo Switch;PlayerUnknown's Battlegrounds;575;604;546;45
Micheal;Barton;Julius Freeway 25;4137;South Carmelo;1986-10-03;natalia21@yahoo.com;Willow30;2021-08-13;Nintendo Switch;Valorant;313;506;78;23
Drew;Larkin;Spencer Manors 27;1335;Llewellyncester;2007-03-28;vincenza.block@hotmail.com;Arlo92;2018-01-01;PC;League of Legends;632;529;839;54
Vada;Yost;Leffler Corner 99;7222;South Maxime;2000-07-18;hayley.stiedemann@hotmail.com;Nikolas78;2022-01-01;Xbox Series X;Overwatch;760;895;625;50
Rogelio;Welch;Marks Alley 47;7464;East Bryonport;1968-09-16;karolann9@gmail.com;Jalon.Barrows20;2018-12-01;Playstation 5;Grand Theft Auto V;646;532;324;45
Adrian;Renner;Zboncak Gateway 2;5681;Ozellaton;1975-03-20;jerod_huels@gmail.com;Hillary_Jast8;2016-07-10;Playstation 5;World of Warcraft;741;746;629;3
Jordan;Lubowitz;Douglas Neck 95;8057;Mariannafield;1996-08-08;santina.tromp-skiles40@hotmail.com;Demario.Upton81;2019-04-30;Playstation 5;Rocket League;223;973;743;17
Cole;Padberg;Ryan Spring 70;1364;East Aurelie;1992-11-03;connor96@gmail.com;Stuart48;2017-08-29;Xbox Series X;Dota 2;926;157;646;62
Darryl;Ernser;Johnson Pine 98;1110;Silascester;2006-09-13;annette.oconner@hotmail.com;Therese77;2018-08-29;Xbox One;World of Warcraft;238;142;500;24
Candida;Roberts-Murazik;Keenan Drives 83;1564;Port Joanie;1983-05-03;hunter_bashirian-oberbrunner@yahoo.com;Mckayla37;2017-09-29;Nintendo Switch;Madden NFL 20;714;909;734;21
Silas;Rempel;Rita Crossing 21;1338;Roderickberg;1956-11-19;owen_stanton97@gmail.com;Luther77;2018-05-25;Nintendo Switch;Overwatch;969;665;357;93
Forest;Hackett;Isabella Mills 76;3973;Geraldborough;1971-05-29;kaylah.kertzmann78@hotmail.com;Annabelle_Schuppe26;2016-01-09;Playstation 4;World of Warcraft;652;331;67;61
Albert;Upton;Kayden Forge 69;4679;Bruenfurt;1986-11-29;alexandro.waters84@gmail.com;Rowena.Gerhold;2022-08-26;Playstation 5;Path of Exile;483;118;395;64
Terrance;Beahan;Barney Land 32;3513;East Dimitri;1989-09-19;syble_bashirian7@hotmail.com;Kirstin.Ernser90;2015-03-06;Xbox Series X;Smite;876;870;30;95
Bert;Towne;Douglas Underpass 5;5872;Carterberg;1953-04-16;rita_mckenzie92@hotmail.com;Stanton.Gutmann77;2013-09-25;Xbox Series X;Path of Exile;143;571;465;27
Mertie;Lubowitz;Bailey Shoal 58;2016;East Palma;1957-01-31;maynard_kreiger-lemke@yahoo.com;Gilbert61;2016-09-14;Playstation 4;Smite;860;623;913;68
Toby;Klocko;Grayce Via 12;3479;Vitoshire;1963-08-20;april22@hotmail.com;Elisa_Dicki;2017-04-19;Playstation 5;Apex Legends;756;699;107;22
Geoffrey;McKenzie;Johns Plaza 85;3365;Concord;1992-01-30;carlo_beer55@yahoo.com;Bonita_Collier;2020-11-20;Xbox One;League of Legends;433;108;306;36
Rebeca;Rice;Ritchie Trafficway 37;1573;Lizzieport;1953-09-21;pierce.von@yahoo.com;Peggie.Heaney;2022-01-18;Xbox One;Apex Legends;955;999;284;33
Aleen;DuBuque;Jarod Estates 98;3524;Myrnaborough;1991-01-05;else_kassulke@gmail.com;Naomie.Kessler76;2021-11-04;Xbox One;Smite;232;272;868;85
Kelton;Paucek;Metz Plains 56;4547;Fort Catalinaburgh;1972-03-11;coy31@yahoo.com;Hallie.Jerde;2016-10-18;PC;Dota 2;196;880;748;16
Brooklyn;Cronin;Hoppe Court 36;5418;Feeneystad;1968-07-21;gerard_bode75@gmail.com;Juliana51;2020-07-20;Playstation 4;Grand Theft Auto V;351;236;723;17
Dasia;Welch-Hackett;Cormier Throughway 48;7229;Port Elinor;1994-06-14;alvena.huel96@hotmail.com;Jennifer_Cassin55;2021-05-09;Xbox One;Counter Strike: Global Offensive;867;619;570;35
Mafalda;Bashirian;Hyatt Village 2;1500;Mayertberg;1989-11-27;ross_stoltenberg@hotmail.com;Alphonso.Kuhlman-Rice88;2023-02-26;Playstation 5;Call of Duty: Warzone;503;158;681;71
Oral;Welch;Lisa Lock 69;7961;Bartellboro;1962-10-25;chasity_terry@yahoo.com;Hardy_Dach40;2018-11-22;Xbox One;Valorant;420;491;243;5
Ocie;Lindgren;Swift Square 87;9019;Clairestead;1963-07-08;alta_beahan@gmail.com;Francesca_Shields;2020-09-30;PC;Fortnite;886;55;978;35
Brant;Wisoky;Batz Pass 34;2634;West Florianboro;1964-02-21;claudia61@yahoo.com;Leon.Ledner16;2013-09-05;Xbox Series X;Smite;792;644;132;66
Thad;Doyle;Ankunding Land 22;3776;Boriscester;1967-12-05;crystel_doyle@gmail.com;Brain86;2013-10-19;Playstation 5;Valorant;429;921;446;46
Alivia;Schiller;Oliver Knoll 17;4428;East Anais;2004-01-30;margarette.wolff@gmail.com;Wendy_Hoppe94;2017-03-23;Xbox Series X;Dota 2;797;88;797;32
Harmony;Runolfsdottir;Mayra Trail 14;4015;New Rowenaville;1985-07-14;lora_orn12@hotmail.com;Sam.Mayer;2014-06-23;Nintendo Switch;Hearthstone;576;917;983;74
Gennaro;Predovic;Larson Valleys 66;7096;West Marcellatown;1986-06-20;deshaun38@yahoo.com;Joe52;2016-09-10;Xbox Series X;Rainbow Six Siege;238;938;342;32
Danika;Cruickshank;Kaitlin Viaduct 5;4862;Fritschstead;1995-02-02;raquel_muller72@hotmail.com;Yazmin70;2019-03-02;Xbox One;Rainbow Six Siege;524;62;323;80
Frederik;Batz;Easter Fall 94;1832;Los Angeles;2002-06-30;raoul8@gmail.com;Hilbert82;2019-02-28;PC;Path of Exile;707;783;909;12
Dustin;Mayert;Newton Point 90;4677;New Elliott;1981-01-01;yvonne.bogan@hotmail.com;Mekhi.Walsh;2020-10-15;Playstation 5;Apex Legends;613;693;411;62
Marcelle;Ferry;Denesik Views 10;6490;Mckaylastead;1962-09-08;baron_crist8@hotmail.com;Hattie88;2013-11-12;Playstation 4;Valorant;225;322;833;43
Evangeline;Keebler;Kaelyn Highway 88;4914;East Libby;1951-05-17;katarina54@gmail.com;Deondre_Schowalter;2022-05-16;Xbox Series X;Heroes of the Storm;185;62;781;76
Eleonore;Mohr;Schinner Hills 83;2565;North Gerhardfield;1969-09-13;elton.willms46@yahoo.com;Ara_VonRueden;2013-08-04;PC;Hearthstone;227;539;932;23
Kylie;Kuhn;Maryse Village 31;7786;Lindstad;1949-07-04;thaddeus25@hotmail.com;Carrie52;2015-01-15;Playstation 5;Fortnite;536;10;265;56
Isai;Hane;Crooks Wells 58;2695;New Felton;1979-05-11;kadin39@hotmail.com;Myrtie78;2018-04-29;Playstation 4;Valorant;270;53;342;9
Idella;Mraz;Hazel Expressway 81;2597;Weymouth Town;1968-01-02;leonel24@hotmail.com;Jane89;2016-06-26;Playstation 5;World of Tanks;725;174;421;18
Margaret;Emard;Melisa Prairie 37;4684;Odessa;2006-06-22;keith21@hotmail.com;Maryjane.Rice-Langworth91;2018-03-04;Xbox One;World of Warships;652;638;154;52
Nyasia;Paucek;Mayert Fort 44;2465;West Lucy;1979-10-30;vernon_wyman@hotmail.com;Dejon.Leannon55;2015-09-22;Playstation 4;Path of Exile;652;410;398;99
Antwan;Kihn;Kiera Ways 14;4323;Herzogboro;1957-09-12;leanna_brown@hotmail.com;Neil.Shields17;2019-09-28;PC;Dota 2;862;456;202;54
Emmy;Johns;Keebler Forest 57;6360;Boehmville;1980-02-26;ransom81@gmail.com;Lionel_Kertzmann40;2014-02-23;PC;NBA 2K20;877;961;634;32
Spencer;Boyle;Abernathy Causeway 36;2385;East Kiana;1966-09-29;marcus.dare-monahan@gmail.com;Erwin_Feeney63;2016-11-15;Playstation 4;Overwatch;653;818;409;61
Carolanne;Langworth;Medhurst Shoals 2;5992;West Wade;1949-03-14;katelin19@gmail.com;Alexane87;2015-06-07;PC;Overwatch;310;596;23;78
Everardo;Kshlerin;Lydia Run 16;5924;Dawnview;1958-02-13;layla.wiegand99@gmail.com;Eric91;2015-06-01;Playstation 4;Overwatch;900;428;68;33
Lavonne;Mueller;Champlin Rapids 19;2881;Centennial;1999-09-20;tony72@yahoo.com;Virgil_Gibson74;2013-08-11;PC;Dota 2;311;958;506;43
Dakota;Ritchie;Mitchel Squares 19;7149;New Vivienworth;1959-08-02;halie_kovacek11@yahoo.com;Glenna36;2021-03-05;Playstation 4;Starcraft II;709;948;752;75
Haylie;Kuhlman;Bernardo Unions 12;3079;Farmington Hills;1981-06-05;deshawn53@gmail.com;Daisha_Shields;2019-12-31;PC;Counter Strike: Global Offensive;262;521;260;16
Corrine;Heller;Bridie Row 14;8431;Reichertberg;1989-09-25;cristina.kiehn10@yahoo.com;Jeff.Balistreri;2020-11-12;Xbox One;Minecraft;619;665;92;12
Juliana;Luettgen;Marc Camp 19;4527;Schneiderhaven;1964-05-29;burdette_bashirian@yahoo.com;Eva_Kilback;2018-03-16;PC;League of Legends;867;108;411;81
Brooks;Lebsack;Cummings Brooks 84;4069;Howestead;1995-10-21;marc.becker@gmail.com;Floy78;2014-02-26;Xbox One;Diablo III;671;830;504;88
Freeman;Kulas;Carrie Estates 53;6513;Randytown;1957-12-24;andre.lehner46@hotmail.com;Alda.Goodwin;2018-07-21;PC;Fortnite;584;779;912;54
Theron;Barrows;Beatty Rest 56;3291;North Gunnar;1982-06-04;celestine15@gmail.com;Presley6;2014-02-07;PC;World of Warships;560;292;894;75
Tyrique;Kemmer;Ebert Circle 23;6513;Savannahcester;1989-12-05;gerda.thiel@yahoo.com;Tia_Ondricka;2018-06-01;Xbox One;Smite;405;306;151;34
Buddy;Wyman;Quincy Parkway 33;9113;Lake Ezra;1951-12-21;giuseppe.bergnaum-kuhlman@yahoo.com;Abigail43;2016-07-26;Playstation 4;Destiny 2;190;107;356;93
Buster;Rice;Verlie Mount 28;8985;South Hortense;1982-02-09;walker_nikolaus@yahoo.com;Orlando_Balistreri;2018-08-03;Playstation 5;Diablo III;781;275;888;82
Hoyt;Hirthe;Enos Streets 25;1866;Hermistontown;1969-10-02;travon_wisozk72@hotmail.com;Harley_Upton;2022-05-31;Playstation 5;Overwatch;307;330;22;5
Allen;Goldner;Monahan Plains 13;9448;New Elta;1984-04-03;lucie.aufderhar8@hotmail.com;Schuyler.Kessler;2016-08-03;Playstation 4;Heroes of the Storm;909;953;75;80
Antonio;Hammes;Schneider Terrace 78;6601;Harlingen;1970-02-25;morris_carter@hotmail.com;Kallie53;2022-12-02;Xbox Series X;Minecraft;792;759;858;32
Arnulfo;Quitzon;Magnus Corner 28;1605;South Luisa;1968-07-19;sigmund.nolan75@hotmail.com;Barbara_Fritsch70;2022-10-09;Xbox Series X;Overwatch;318;630;810;11
Hettie;Purdy;Fay Alley 93;8063;West Theo;1981-03-15;milford20@gmail.com;Lilla43;2018-05-16;Playstation 5;Hearthstone;177;505;889;32
Craig;Rodriguez;Jeffery Expressway 55;2318;Manteborough;1950-09-03;judge_bins@yahoo.com;Dianna_Glover42;2013-09-30;Xbox One;Dota 2;480;816;788;24
Hilda;Jacobs;Volkman Terrace 18;2851;Port Skye;1979-12-13;diamond.turner@hotmail.com;Roel_Kutch;2018-06-11;Playstation 4;PlayerUnknown's Battlegrounds;615;763;24;12
Jarvis;Dietrich;Smith Harbor 73;9781;Langworthside;1982-07-24;ellis5@yahoo.com;Aditya_Kreiger31;2022-01-27;Playstation 4;Destiny 2;758;699;615;75
Brock;Kautzer;Cassandra Harbor 28;9591;South Peyton;1986-08-05;raphael59@yahoo.com;Golda.Hand24;2017-08-30;Xbox Series X;Heroes of the Storm;603;466;845;16
Tyree;Collier;Sanford Prairie 48;9855;North Sydnieberg;1948-08-24;darron94@hotmail.com;Gene_Krajcik;2020-03-26;PC;League of Legends;752;823;664;50
Sofia;Schmidt;Muriel Pine 33;1223;South Lance;1949-06-05;olaf_schowalter@yahoo.com;Melissa.Paucek88;2013-08-21;Playstation 4;Minecraft;136;598;955;21
Zachary;Hickle;Mraz Gateway 11;5684;East Shawnahaven;1997-04-21;marcelino53@yahoo.com;Casimir16;2014-11-11;PC;Diablo III;917;39;45;12
Maci;Hirthe;Kirlin Plain 90;2114;Carrollton;1971-11-24;loren_kunde98@gmail.com;Hunter31;2019-06-16;Playstation 4;Diablo III;247;568;682;90
Mekhi;Kirlin;Elise Ville 65;9184;West Haven;1966-10-16;precious.crooks@yahoo.com;Karolann_Pfannerstill75;2021-07-17;Xbox One;Teamfight Tactics;320;203;988;17
Mercedes;Schamberger;McLaughlin Knoll 27;8028;Haagcester;1997-12-04;natalia.mante-shields@hotmail.com;Terence.Bednar;2018-01-23;Nintendo Switch;Minecraft;590;406;330;47
